uri,duration_ms,artist,name,danceability,energy,loudness,valence,tempo,instrumentalness,speechiness,popularity,msPlayed,horario
2iIBpwP4FyQ95xgVail3yr,203636,Emilia,No_se_ve.mp3,0.752,0.666,-5.185,0.545,131.986,1.62e-05,0.0672,86,449598,morning
2eAvDnpXP5W0cVtiI0PUxV,233720,Ruth B.,Dandelions,0.609,0.692,-2.958,0.454,116.959,0.0,0.0259,91,484565,morning
7xNCacksfUkYXsXuSW4vNF,152214,salem ilese,PS5 (with TOMORROW X TOGETHER & Alan Walker),0.602,0.642,-5.404,0.54,175.978,5.33e-06,0.211,75,171476,morning
2ECIwi1a7mfokdDkkJ08Ne,346460,KHEA,Loca,0.795,0.751,-3.661,0.537,113.033,0.0,0.0675,73,503598,morning
30096a5EMOSaF9c2aSa4TH,180928,MC Mazzie,Ele Te Bota Soca Soca,0.896,0.746,-5.174,0.752,130.138,1.19e-06,0.072,76,298700,morning
1Y3LN4zO1Edc2EluIoSPJN,176440,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,0.551,0.55,-5.339,0.342,101.19,0.0,0.0286,93,176440,morning
0RpL1pOALdN5E4Ci1tYG1y,150612,Maria Becerra,Te Cura,0.754,0.876,-3.878,0.719,98.022,3.57e-05,0.039,80,278144,morning
3q9oTSo64CrjOiPwI4DbWE,180843,Bakermat,Baianá,0.587,0.722,-6.983,0.466,121.964,0.668,0.0709,66,73301,morning
3WndNMJo029mMO64l9hGFm,150829,Mesita,Dale Mecha,0.623,0.636,-4.36,0.441,146.286,0.0,0.431,79,233616,morning
3dnP0JxCgygwQH9Gm7q7nb,165671,Eslabon Armado,Ella Baila Sola,0.668,0.758,-5.176,0.834,147.989,1.89e-05,0.0332,99,290932,morning
79zvVrn65ksbiGQxrtV4I5,193613,Don Omar,Guaya Guaya,0.788,0.873,-2.322,0.703,91.981,0.00052,0.117,78,51285,morning
2UW7JaomAMuX9pZrjVpHAU,234353,Yng Lvcas,La Bebe - Remix,0.812,0.479,-5.678,0.559,169.922,1.21e-06,0.333,99,32789,morning
5CGDlYe3DXdGJlm471REcg,121275,Axel Caram,Prende La Camara - Remix,0.843,0.737,-6.716,0.758,99.939,0.000716,0.14,61,27904,morning
1nahzW3kfMuwReTka28tH5,170813,Justin Bieber,Hold On,0.658,0.634,-6.068,0.302,140.002,0.0,0.0431,76,10496,morning
2ggI4zQEU6h4CAFidbajKG,179069,Mary Spender,She,0.774,0.322,-9.443,0.589,97.856,0.0,0.0299,11,7381,morning
5YYW3yRktprLRr47WK219Y,218107,Rochy RD,Ella No Es Tuya - Remix,0.585,0.611,-4.132,0.962,97.041,0.0,0.288,72,5503,morning
70TM2AQY0TiC539o01iFJQ,307499,Mary Spender,Primrose,0.673,0.616,-8.149,0.543,126.006,6.81e-06,0.0409,22,170,morning


wavGRldH0AWyu2zvTz8zb, 188497, Taylor Swift, Sweet Nothing, 0.337, 0.156, -14.919, 0.39, 176.655, 7.72e-05, 0.0518, 78,497644,noon

7FmYn9e7KHMXcxqGSj9LjH, 191039, Taylor Swift, Mastermind, 0.662, 0.357, -14.064, 0.124, 125.966, 0.00129, 0.154, 80, 463310,noon


1wtOxkiel43cVs0Yux5Q4h, 256124, Taylor Swift, Snow On The Beach (feat. Lana Del Rey), 0.663, 0.319, -13.481, 0.193, 109.957, 0.000993, 0.0375, 83, 330813,noon

3rWDp9tBPQR9z6U5YyRSK4, 174783, Taylor Swift, Midnight Rain, 0.643, 0.363, -11.738, 0.23, 139.865, 5.17e-05, 0.0767, 87, 150209,noon

1xwAWUI6Dj0WGC3KiUPN0O, 164801, Taylor Swift, Vigilante Shit, 0.798, 0.277, -11.096, 0.163, 79.846, 5.25e-05, 0.39, 81, 312799,noon

5jQI2r1RdgtuT8S3iG8zFC, 202396, Taylor Swift, Lavender Haze, 0.733, 0.436, -10.489, 0.0976, 96.985, 0.000573, 0.08, 88, 256661,noon

4D7BCuvgdJlYvlX5WlN54t, 194207, Taylor Swift, You're On Your Own Kid, 0.696, 0.396, -10.289, 0.38, 120.041, 5.2e-06, 0.0656, 85, 209803,noon

3qoftcUZaUOncvIYjFSPdE, 194166, Taylor Swift, Bejeweled, 0.696, 0.559, -9.19, 0.433, 163.999, 5.58e-05, 0.0693, 85,222878,noon

0Uc3d1FlJ6GHpomtegokCh,132812,Ally Hills,manipuLIES,0.676,0.884,-7.422,0.535,111.966,0.0102,0.0455,56,215109,noon

2QhURnm7mQDxBb5jWkbDug, 136867, Coldplay, Don't Panic, 0.602, 0.612, -8.409, 0.453, 122.062, 0.00607, 0.0335, 74,156867,noon

2UW7JaomAMuX9pZrjVpHAU,234353,Yng Lvcas,La Bebe - Remix,0.812,0.479,-5.678,0.559,169.922,1.21e-06,0.333,99,191033,noon

