name,energy,category
TOP 5,1,energetica
No_se_ve.mp3,1,energetica
Baianá,1,energetica
Ella No Es Tuya - Remix,1,energetica
Ele Te Bota Soca Soca,1,energetica
Yandel 150,1,energetica
Niña Bonita,1,energetica
Te Cura,1,energetica
La Bebe - Remix,0,tranquila
M.A (Mejores Amigos),1,energetica
Gangsta's Paradise,0,tranquila
La Ley y La Trampa,1,energetica
Cure,1,energetica
Boy With Luv (feat. Halsey),1,energetica
Ella Baila Sola,1,energetica
Ella - Remix,1,energetica
Loca,1,energetica
Tren Del Cielo,1,energetica
Primrose,1,energetica
She,0,tranquila
Spire,0,tranquila
Restaurant Window,0,tranquila
PS5 (with TOMORROW X TOGETHER & Alan Walker),1,energetica
Guaya Guaya,1,energetica
Where Them Girls At (feat. Nicki Minaj & Flo Rida),1,energetica
Prende La Camara - Remix,1,energetica
"Peso Pluma: Bzrp Music Sessions, Vol. 55",1,energetica
AUTOMÁTICO,1,energetica
"Duki: Bzrp Music Sessions, Vol. 50",1,energetica
Chachachá,0,tranquila
En La Ciudad De La Furia - Remasterizado 2007,1,energetica
Nos Siguen Pegando Abajo,1,energetica
Hablando a Tu Corazón,1,energetica
Spaghetti del Rock,0,tranquila
La Chica Del Bikini Azul,1,energetica
Hasta la Raíz,1,energetica
El Bolero,0,tranquila
Rara Vez,1,energetica
Persiana Americana - Remasterizado 2007,1,energetica
Normal,0,tranquila
Isla del Pacífico,1,energetica
The Great War,1,energetica
Mentía,1,energetica
CAIRO,1,energetica
manipuLIES,1,energetica
Dale Mecha,1,energetica
Hold On,1,energetica
Dandelions,1,energetica
Until I Found You (with Em Beihold) - Em Beihold Version,0,tranquila
