nombre,dia,horario,proporcion_diaria,proporcion_total
PUNTO G,jueves,tarde,28.57142857142857,3.4221146085552863
La Bachata,jueves,tarde,28.57142857142857,3.4221146085552863
Monotonía,jueves,tarde,28.57142857142857,3.4221146085552863
"Shakira: Bzrp Music Sessions, Vol. 53",jueves,tarde,28.57142857142857,3.4221146085552863
AUTOMÁTICO,jueves,tarde,28.57142857142857,3.4221146085552863
Joga Essa Rabeta,jueves,tarde,28.57142857142857,3.4221146085552863
Éxtasis,jueves,tarde,28.57142857142857,3.4221146085552863
"Shakira: Bzrp Music Sessions, Vol. 53",jueves,tarde,28.57142857142857,3.4221146085552863
LA NENA DE ARGENTINA,jueves,tarde,28.57142857142857,3.4221146085552863
AUTOMÁTICO,jueves,tarde,28.57142857142857,3.4221146085552863
"Shakira: Bzrp Music Sessions, Vol. 53",jueves,tarde,28.57142857142857,3.4221146085552863
LA NENA DE ARGENTINA,jueves,tarde,28.57142857142857,3.4221146085552863
GATÚBELA,jueves,tarde,28.57142857142857,3.4221146085552863
GATÚBELA,jueves,tarde,28.57142857142857,3.4221146085552863
GATÚBELA,jueves,tarde,28.57142857142857,3.4221146085552863
Muñecas,jueves,tarde,28.57142857142857,3.4221146085552863
Muñecas,jueves,tarde,28.57142857142857,3.4221146085552863
CAIRO,jueves,tarde,28.57142857142857,3.4221146085552863
La Jumpa,jueves,tarde,28.57142857142857,3.4221146085552863
Muñecas,jueves,tarde,28.57142857142857,3.4221146085552863
Graduados - Tan Biónica,jueves,tarde,28.57142857142857,3.4221146085552863
ARRANCARMELO,jueves,tarde,28.57142857142857,3.4221146085552863
Hablando a Tu Corazón,jueves,tarde,28.57142857142857,3.4221146085552863
TIERRA ZANTA,jueves,tarde,28.57142857142857,3.4221146085552863
Heat Waves,jueves,tarde,28.57142857142857,3.4221146085552863
After Dark,jueves,tarde,28.57142857142857,3.4221146085552863
Lost in the Fire (feat. The Weeknd),jueves,tarde,28.57142857142857,3.4221146085552863
Shut up My Moms Calling,jueves,tarde,28.57142857142857,3.4221146085552863
Shut up My Moms Calling,jueves,tarde,28.57142857142857,3.4221146085552863
suicide yr,jueves,tarde,28.57142857142857,3.4221146085552863
I Wanna Be Yours,jueves,tarde,28.57142857142857,3.4221146085552863
Daddy Issues,jueves,tarde,28.57142857142857,3.4221146085552863
sure thing (sped up),jueves,tarde,28.57142857142857,3.4221146085552863
Snap Out Of It,jueves,tarde,28.57142857142857,3.4221146085552863
suicide yr,jueves,tarde,28.57142857142857,3.4221146085552863
Renegade & I Was Never There,jueves,tarde,28.57142857142857,3.4221146085552863
Another Love - Slowed and Muffled,jueves,tarde,28.57142857142857,3.4221146085552863
Softcore,jueves,tarde,28.57142857142857,3.4221146085552863
Heat Waves,jueves,tarde,28.57142857142857,3.4221146085552863
After Dark,jueves,tarde,28.57142857142857,3.4221146085552863
Lost in the Fire (feat. The Weeknd),jueves,tarde,28.57142857142857,3.4221146085552863
Muñecas,jueves,tarde,28.57142857142857,3.4221146085552863
RON COLA,jueves,tarde,28.57142857142857,3.4221146085552863
I Wanna Be Yours,jueves,tarde,28.57142857142857,3.4221146085552863
Summertime Sadness,jueves,tarde,28.57142857142857,3.4221146085552863
i'm yours sped up,jueves,tarde,28.57142857142857,3.4221146085552863
Infinity,jueves,tarde,28.57142857142857,3.4221146085552863
Lavender Haze,jueves,tarde,28.57142857142857,3.4221146085552863
A Toast and a Spirit,jueves,tarde,28.57142857142857,3.4221146085552863
Heart Out,jueves,tarde,28.57142857142857,3.4221146085552863
Summertime Sadness,viernes,noche,29.724208375893767,4.697336561743342
RON COLA,viernes,noche,29.724208375893767,4.697336561743342
Muñecas,viernes,noche,29.724208375893767,4.697336561743342
Graduados - Tan Biónica,viernes,noche,29.724208375893767,4.697336561743342
Can't Hold Us (feat. Ray Dalton),viernes,noche,29.724208375893767,4.697336561743342
Warriors,viernes,noche,29.724208375893767,4.697336561743342
