name,popularity,category
TOP 5,0,desconocida
No_se_ve.mp3,1,popular
Baianá,0,desconocida
Ella No Es Tuya - Remix,1,popular
Ele Te Bota Soca Soca,1,popular
Yandel 150,1,popular
Niña Bonita,1,popular
Te Cura,1,popular
La Bebe - Remix,1,popular
M.A (Mejores Amigos),1,popular
Gangsta's Paradise,1,popular
La Ley y La Trampa,0,desconocida
Cure,0,desconocida
Boy With Luv (feat. Halsey),1,popular
Ella Baila Sola,1,popular
Ella - Remix,0,desconocida
Loca,1,popular
Tren Del Cielo,0,desconocida
Primrose,0,desconocida
She,0,desconocida
Spire,0,desconocida
Restaurant Window,0,desconocida
PS5 (with TOMORROW X TOGETHER & Alan Walker),1,popular
Guaya Guaya,1,popular
Where Them Girls At (feat. Nicki Minaj & Flo Rida),0,desconocida
Prende La Camara - Remix,0,desconocida
"Peso Pluma: Bzrp Music Sessions, Vol. 55",1,popular
AUTOMÁTICO,0,desconocida
"Duki: Bzrp Music Sessions, Vol. 50",1,popular
Chachachá,1,popular
En La Ciudad De La Furia - Remasterizado 2007,0,desconocida
Nos Siguen Pegando Abajo,0,desconocida
Hablando a Tu Corazón,0,desconocida
Spaghetti del Rock,0,desconocida
La Chica Del Bikini Azul,1,popular
Hasta la Raíz,1,popular
El Bolero,1,popular
Rara Vez,1,popular
Persiana Americana - Remasterizado 2007,0,desconocida
Normal,1,popular
Isla del Pacífico,0,desconocida
The Great War,1,popular
Mentía,0,desconocida
CAIRO,1,popular
manipuLIES,0,desconocida
Dale Mecha,1,popular
Hold On,1,popular
Dandelions,1,popular
Until I Found You (with Em Beihold) - Em Beihold Version,1,popular
