name,loudness,category
TOP 5,1,ruidosa
No_se_ve.mp3,1,ruidosa
Baianá,0,callada
Ella No Es Tuya - Remix,1,ruidosa
Ele Te Bota Soca Soca,1,ruidosa
Yandel 150,1,ruidosa
Niña Bonita,1,ruidosa
Te Cura,1,ruidosa
La Bebe - Remix,1,ruidosa
M.A (Mejores Amigos),1,ruidosa
Gangsta's Paradise,0,callada
La Ley y La Trampa,1,ruidosa
Cure,0,callada
Boy With Luv (feat. Halsey),1,ruidosa
Ella Baila Sola,1,ruidosa
Ella - Remix,1,ruidosa
Loca,1,ruidosa
Tren Del Cielo,0,callada
Primrose,0,callada
She,0,callada
Spire,0,callada
Restaurant Window,0,callada
PS5 (with TOMORROW X TOGETHER & Alan Walker),1,ruidosa
Guaya Guaya,1,ruidosa
Where Them Girls At (feat. Nicki Minaj & Flo Rida),1,ruidosa
Prende La Camara - Remix,0,callada
"Peso Pluma: Bzrp Music Sessions, Vol. 55",0,callada
AUTOMÁTICO,1,ruidosa
"Duki: Bzrp Music Sessions, Vol. 50",1,ruidosa
Chachachá,0,callada
En La Ciudad De La Furia - Remasterizado 2007,0,callada
Nos Siguen Pegando Abajo,0,callada
Hablando a Tu Corazón,0,callada
Spaghetti del Rock,0,callada
La Chica Del Bikini Azul,0,callada
Hasta la Raíz,0,callada
El Bolero,0,callada
Rara Vez,1,ruidosa
Persiana Americana - Remasterizado 2007,1,ruidosa
Normal,1,ruidosa
Isla del Pacífico,1,ruidosa
The Great War,0,callada
Mentía,0,callada
CAIRO,1,ruidosa
manipuLIES,0,callada
Dale Mecha,1,ruidosa
Hold On,0,callada
Dandelions,1,ruidosa
Until I Found You (with Em Beihold) - Em Beihold Version,1,ruidosa
